"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational","CZ error"
"30","235.71113036227985","45.49170275921852","0.0076904296875","0.0107421875","0.004638671875","2280","0.0005764619000706557","32","0.0005764619000706557","0","0.0005764619000706557","0.0005764619000706557","31:68;29:80","31:0.049752251450474155;29:0.006741958284949973","0.0076904296875","0.012939453125","Yes","31:0.002496424830707694;29:0.0018400645470640076"
"31","132.254210903487","150.85296556309203","0.073974609375","0.052001953125","0.095947265625","2280","0.0007932128470845635","32","0.0007932128470845635","0","0.0007932128470845635","0.0007932128470845635","30:68;32:68;18:68","30:0.049752251450474155;32:0.03418409707443207;18:0.00743176674656118","0.073974609375","0.1298828125","Yes","30:0.002496424830707694;32:0.003039936022802142;18:0.004874995052593811"
"32","297.63436058136165","131.19239091106584","0.0089111328125","0.012939453125","0.0048828125","2280","0.0008982566642778331","32","0.0008982566642778331","0","0.0008982566642778331","0.0008982566642778331","31:68;33:68","31:0.03418409707443207;33:0.0027102228801500206","0.0089111328125","0.005126953125","Yes","31:0.003039936022802142;33:0.003413020798310601"
"33","463.5415875691536","640.2615288291075","0.0086669921875","0.008056640625","0.00927734375","2280","0.0003742369354283052","32","0.0003742369354283052","0","0.0003742369354283052","0.0003742369354283052","39:68;32:68;34:108","39:0.0072785981162034885;32:0.0027102228801500206;34:0.0018825518177585931","0.0086669921875","0.005615234375","Yes","39:0.0025164957104706343;32:0.003413020798310601;34:0.0023523010941037537"
"34","354.6408035361097","273.2722983354548","0.0130615234375","0.015625","0.010498046875","2280","0.0005214445066929461","32","0.0005214445066929461","0","0.0005214445066929461","0.0005214445066929461","33:108;35:68","33:0.0018825518177585931;35:0.001133220361667825","0.0130615234375","0.01220703125","Yes","33:0.0023523010941037537;35:0.0026072303071690284"
"35","236.37500538490414","167.06569678519188","0.0137939453125","0.01953125","0.008056640625","2280","0.0007883690472947992","32","0.0007883690472947992","0","0.0007883690472947992","0.0007883690472947992","19:68;34:68","19:0.0010711292881692425;34:0.001133220361667825","0.0137939453125","0.02099609375","Yes","19:0.0018633392526809789;34:0.0026072303071690284"
"36","203.60981923908818","125.38424630099242","0.0384521484375","0.0244140625","0.052490234375","2280","0.0002659204698356267","32","0.0002659204698356267","0","0.0002659204698356267","0.0002659204698356267","41:68;21:68","41:0.004165706022036225;21:0.005997780628060778","0.0384521484375","0.02734375","Yes","41:0.004074401292212787;21:0.008272616645269681"
"37","109.51960156276489","18.57497310899679","0.005126953125","0.009765625","0.00048828125","2280","0.000495826344597053","32","0.000495826344597053","0","0.000495826344597053","0.000495826344597053","45:68;25:68","45:0.006124682188877378;25:0.003215804162975705","0.005126953125","0.0087890625","Yes","45:0.004370414923879823;25:0.005314432590770413"
"38","238.3632369078646","96.622364366847","0.0096435546875","0.01123046875","0.008056640625","2280","0.00046604166675594683","32","0.00046604166675594683","0","0.00046604166675594683","0.00046604166675594683","29:68;49:68","29:0.009321447861747933;49:0.005966298793844277","0.0096435546875","0.0390625","Yes","29:0.012776638540097196;49:0.0026452283484874606"
"39","177.4090675050676","115.28831163355156","0.0072021484375","0.012451171875","0.001953125","2280","0.0008235275696830299","32","0.0008235275696830299","0","0.0008235275696830299","0.0008235275696830299","53:68;33:68","53:0.001653828805309454;33:0.0072785981162034885","0.0072021484375","0.014892578125","Yes","53:0.0032499717074200296;33:0.0025164957104706343"
"40","355.4591221629524","21.50880521156336","0.006103515625","0.007568359375","0.004638671875","2280","0.001080193432919489","32","0.001080193432919489","0","0.001080193432919489","0.001080193432919489","41:68","41:0.007372038746329884","0.006103515625","0.01953125","Yes","41:0.005102669737899607"
"41","467.0753577951254","16.616205002909503","0.014892578125","0.022705078125","0.007080078125","2280","0.002671380910200069","32","0.002671380910200069","0","0.002671380910200069","0.002671380910200069","40:68;42:68;36:68","40:0.007372038746329884;42:0.01981836130413539;36:0.004165706022036225","0.014892578125","0.0126953125","Yes","40:0.005102669737899607;42:0.006181006854922039;36:0.004074401292212787"
"42","266.6512020926385","38.746962999959074","0.0067138671875","0.0078125","0.005615234375","2280","0.0007519608365078528","32","0.0007519608365078528","0","0.0007519608365078528","0.0007519608365078528","41:68;43:68","41:0.01981836130413539;43:0.006380180730046564","0.0067138671875","0.00439453125","Yes","41:0.006181006854922039;43:0.0062239276601016025"
"43","328.7197542105555","15.88761432446529","0.021240234375","0.04052734375","0.001953125","2280","0.0006728881677268607","32","0.0006728881677268607","0","0.0006728881677268607","0.0006728881677268607","42:68;56:68;44:68","42:0.006380180730046564;56:0.007967836904240244;44:0.008759064943217376","0.021240234375","0.007568359375","Yes","42:0.0062239276601016025;56:0.006226569171402296;44:0.004454426354376706"
"44","323.63953993342","214.34604550705282","0.0087890625","0.0126953125","0.00830078125","2280","0.0004021892529804071","32","0.0004021892529804071","0","0.0004021892529804071","0.0004021892529804071","45:68;43:68","45:0.0016431452307897332;43:0.008759064943217376","0.0087890625","0.0107421875","Yes","45:0.005186001193673961;43:0.004454426354376706"
"45","137.05688084661836","97.19866379669921","0.01025390625","0.01611328125","0.00439453125","2280","0.0002199199762245456","32","0.0002199199762245456","0","0.0002199199762245456","0.0002199199762245456","44:68;46:68;37:68","44:0.0016431452307897332;46:0.0017305498689926813;37:0.006124682188877378","0.01025390625","0.01220703125","Yes","44:0.005186001193673961;46:0.004139072300808927;37:0.004370414923879823"
"46","130.46570971295074","101.88167636451004","0.005126953125","0.00732421875","0.0029296875","2280","0.00028254662251444695","32","0.00028254662251444695","0","0.00028254662251444695","0.00028254662251444695","45:68;47:68","45:0.0017305498689926813;47:0.0018659407737134093","0.005126953125","0.00634765625","Yes","45:0.004139072300808927;47:0.004785685286995522"
"47","222.95943376069684","169.25808219288172","0.0369873046875","0.033935546875","0.0400390625","2280","0.001424015180172686","32","0.001424015180172686","0","0.001424015180172686","0.001424015180172686","48:68;57:68;46:68","48:0.002610517532631612;57:0.0012751906210099195;46:0.0018659407737134093","0.0369873046875","0.022705078125","Yes","48:0.005404349273258696;57:0.0032602876799888714;46:0.004785685286995522"
"48","269.90518635755626","29.78858473804154","0.005859375","0.0087890625","0.0029296875","2280","0.0005150075442323792","32","0.0005150075442323792","0","0.0005150075442323792","0.0005150075442323792","47:68;49:68","47:0.002610517532631612;49:0.004649617334068379","0.005859375","0.002197265625","Yes","47:0.005404349273258696;49:0.002936102952936809"
"49","333.42772417361084","103.81128458732532","0.011962890625","0.015625","0.00830078125","2280","0.0007080360565919281","32","0.0007080360565919281","0","0.0007080360565919281","0.0007080360565919281","48:68;50:68;38:68","48:0.004649617334068379;50:0.005191748486174014;38:0.005966298793844277","0.011962890625","0.00732421875","Yes","48:0.002936102952936809;50:0.002844997068448235;38:0.0026452283484874606"
"50","298.617040664879","314.15112251350564","0.0062255859375","0.0107421875","0.001708984375","2280","0.00042005432456400057","32","0.00042005432456400057","0","0.00042005432456400057","0.00042005432456400057","49:68;51:68","49:0.005191748486174014;51:0.0014133483186758167","0.0062255859375","0.0048828125","Yes","49:0.002844997068448235;51:0.002289523660428394"
